"ID","Label","DEVICE_LOCATIONTYPE","THINGSPEAK_PRIMARY_ID","THINGSPEAK_PRIMARY_ID_READ_KEY","THINGSPEAK_SECONDARY_ID","THINGSPEAK_SECONDARY_ID_READ_KEY","Lat","Lon","PM2_5Value","LastSeen","Type","Hidden","isOwner","humidity","temp_f","pressure","AGE","Stats","ParentID","Flag","A_H","Ozone1"
89059,"LF Home","inside",1224240,"4RC0RDJLKFFZY81M",1224241,"5J0OJBSG7B8L2U7U",37.791726,-121.329282,0.84,1614865947,"PMS5003+PMS5003+BME280","false",0,25,77,1022.78,1,"{""v"":0.84,""v1"":1.28,""v2"":1.92,""v3"":3.74,""v4"":7.35,""v5"":4.89,""v6"":4.06,""pm"":0.84,""lastModified"":1614865947980,""timeSinceModified"":119991}",NA,1,NA,NA
20303,"LG Dave's","inside",640048,"TUWY9FNRLE3A0R5H",640049,"TTNA7NSBL81U0MU9",37.237922,-121.982025,2.95,1614865986,"PMS5003+PMS5003+BME280","false",0,27,82,1007.56,1,"{""v"":2.95,""v1"":3.34,""v2"":3.57,""v3"":3.92,""v4"":6.41,""v5"":4.98,""v6"":3.29,""pm"":2.95,""lastModified"":1614865986835,""timeSinceModified"":119971}",NA,NA,NA,NA
20123,"LG Dave's","outside",638327,"V0O4YDAECU0AL73T",638328,"TEUUN0REBXTF3MWN",37.237647,-121.981743,4.07,1614866030,"PMS5003+PMS5003+BME280","false",0,49,56,1007.54,0,"{""v"":4.07,""v1"":4.27,""v2"":4.36,""v3"":4.39,""v4"":4.57,""v5"":3.64,""v6"":3.17,""pm"":4.07,""lastModified"":1614866030739,""timeSinceModified"":120017}",NA,NA,NA,NA
19707,"LG-A & Leigh","inside",631754,"ANNFD765TMTRO0W4",631755,"335888HYT1CPHIXJ",37.243175,-121.923689,2.6,1614866039,"PMS5003+PMS5003+BME280","false",0,28,72,1014.59,0,"{""v"":2.6,""v1"":2.45,""v2"":2.42,""v3"":2.46,""v4"":2.63,""v5"":2.18,""v6"":2.09,""pm"":2.6,""lastModified"":1614866039803,""timeSinceModified"":120023}",NA,NA,NA,NA
63329,"LGBoyer","inside",1126789,"W7CX8O73FVVLZ0Y4",1126790,"WLFPK3IKCP3PMLEH",37.226744,-121.978491,0.22,1614297881,"PMS5003+PMS5003+BME280","false",0,20,86,1010.2,9469,"{""v"":0.22,""v1"":0.11,""v2"":0.13,""v3"":0.2,""v4"":1.37,""v5"":2.14,""v6"":3.44,""pm"":0.22,""lastModified"":1614297881557,""timeSinceModified"":119996}",NA,1,NA,NA
88809,"LH Inside","inside",1221168,"W6969T3DW0BYFQPH",1221169,"GLT4Q7H480WFUSJT",34.073466,-118.199545,1.98,1614865964,"PMS5003+PMS5003+BME280","false",0,30,68,1004.19,1,"{""v"":1.98,""v1"":1.72,""v2"":2.93,""v3"":5.81,""v4"":12.69,""v5"":15.33,""v6"":20.44,""pm"":1.98,""lastModified"":1614865964124,""timeSinceModified"":119828}",NA,1,NA,NA
71795,"Liberty Gymnastics","outside",1157365,"3Z1VTTWAL7OARAFK",1157366,"LSBW7CP2FD95L5G1",38.011348,-122.036751,10.98,1614865945,"PMS5003+PMS5003+BME280","false",0,69,47,1020.65,1,"{""v"":10.98,""v1"":11.65,""v2"":11.45,""v3"":10.38,""v4"":9.21,""v5"":7.93,""v6"":6.72,""pm"":10.98,""lastModified"":1614865945549,""timeSinceModified"":113100}",NA,0,NA,NA
77019,"Liberty Gymnastics (indoors)","inside",1173268,"N87Q8MR0DON2NC9H",1173269,"8ZGEOFG7KCC3VGWI",38.011323,-122.036428,4.37,1614865959,"PMS5003+PMS5003+BME280","false",0,23,76,1020.9,1,"{""v"":4.37,""v1"":3.89,""v2"":3.97,""v3"":4.28,""v4"":7.48,""v5"":6.94,""v6"":5.73,""pm"":4.37,""lastModified"":1614865959118,""timeSinceModified"":119996}",NA,NA,NA,NA
63839,"Liberty Valley","outside",1129152,"ZL50QVRWFWWLJWEU",1129153,"T056VMXKYX1JLEMB",38.28076,-122.715899,6.98,1614866037,"PMS5003+PMS5003+BME280","false",0,59,53,1017.03,0,"{""v"":6.98,""v1"":7.35,""v2"":7.03,""v3"":6.65,""v4"":7.19,""v5"":6.62,""v6"":5.91,""pm"":6.98,""lastModified"":1614866037443,""timeSinceModified"":119988}",NA,0,NA,NA
29445,"Life Chiropractic College West","inside",740564,"HPFI48S8XWBFCYVH",740565,"OGIXZ2GV1UFHOKB5",37.63803,-122.118682,4.51,1612613320,"PMS5003+PMS5003+BME280","false",0,22,82,1019.12,37545,"{""v"":4.51,""v1"":3.53,""v2"":3.47,""v3"":3.35,""v4"":1.91,""v5"":1.08,""v6"":1.6,""pm"":4.51,""lastModified"":1612613320649,""timeSinceModified"":119961}",NA,NA,NA,NA
67995,"Life Chiropractic College West - Outside","outside",1142580,"OTCUTRTSNSKWECA2",1142581,"576DF1KQ3XGA9EFW",37.638044,-122.118322,13.3,1614866046,"PMS5003+PMS5003+BME280","false",0,54,52,1022.46,0,"{""v"":13.3,""v1"":13.22,""v2"":12.97,""v3"":12.02,""v4"":10.31,""v5"":8.1,""v6"":5.91,""pm"":13.3,""lastModified"":1614866046974,""timeSinceModified"":120002}",NA,NA,NA,NA
72741,"Life West Health Center 1st Floor","inside",1159898,"GDOK9ACFOMWMKD77",1159899,"97IREO6ZJC7N16LM",37.638098,-122.117484,1.39,1614866013,"PMS5003+PMS5003+BME280","false",0,24,76,1021.91,0,"{""v"":1.39,""v1"":1.57,""v2"":2.19,""v3"":2.38,""v4"":2.04,""v5"":1.7,""v6"":1.34,""pm"":1.39,""lastModified"":1614866013518,""timeSinceModified"":120018}",NA,NA,NA,NA
71395,"Life West Health Center 2nd Floor","inside",1156084,"RXH3S8V4YTR5BKQB",1156085,"SRXF27EHGMULFT23",37.637936,-122.117619,0.65,1614865928,"PMS5003+PMS5003+BME280","false",0,20,80,1022.05,1,"{""v"":0.65,""v1"":1.08,""v2"":1.15,""v3"":1.14,""v4"":1.18,""v5"":1.05,""v6"":0.77,""pm"":0.65,""lastModified"":1614865928803,""timeSinceModified"":119933}",NA,NA,NA,NA
84331,"Light Springs Road","outside",1200220,"Q6T5TF38UX7MN9UD",1200221,"HGUTIY6YH2V1BHH5",37.006555,-121.837281,8.13,1614866020,"PMS5003+PMS5003+BME280","false",0,69,46,995.1,0,"{""v"":8.13,""v1"":7.11,""v2"":7.16,""v3"":7.1,""v4"":6.38,""v5"":4.32,""v6"":2.99,""pm"":8.13,""lastModified"":1614866020117,""timeSinceModified"":120032}",NA,NA,NA,NA
27089,"Lighthouse Center Wilshire St.","outside",708492,"EBYTYKVP1LYVMM2Y",708493,"O452DV04SXAY45MK",33.731039,-117.854781,2.75,1614865969,"PMS5003+PMS5003+BME280","false",0,61,55,1021.08,1,"{""v"":2.75,""v1"":4.7,""v2"":6.21,""v3"":8.31,""v4"":10.23,""v5"":8.93,""v6"":11.12,""pm"":2.75,""lastModified"":1614865969213,""timeSinceModified"":119995}",NA,NA,NA,NA
84591,"Like2Breathe","outside",1200959,"BIL6PR6HW77EXOH8",1200960,"6U3WL6I0LUQCAWUY",35.771748,-118.443682,8.29,1614865972,"PMS5003+PMS5003+BME280","false",0,73,69,732.34,1,"{""v"":8.29,""v1"":8.62,""v2"":8.45,""v3"":7.96,""v4"":5.71,""v5"":4.26,""v6"":6.1,""pm"":8.29,""lastModified"":1614865972049,""timeSinceModified"":119995}",NA,NA,NA,NA
20519,"Lil Beki","outside",641128,"464R2ML81DAEZ9F4",641129,"7G8SP7G6DRKHUE41",37.818874,-122.267627,4.24,1614866021,"PMS5003+PMS5003+BME280","false",0,41,61,1019.51,0,"{""v"":4.24,""v1"":5.74,""v2"":6.18,""v3"":6.13,""v4"":7.01,""v5"":6.58,""v6"":5.54,""pm"":4.24,""lastModified"":1614866021470,""timeSinceModified"":120109}",NA,NA,NA,NA
82015,"Lilac","inside",1189634,"HX0ZBWSPQM2PPTVK",1189635,"E0UYRB5JVWFQKFYO",37.23635,-121.953388,2.26,1614865980,"PMS5003+PMS5003+BME280","false",0,20,77,1010.5,1,"{""v"":2.26,""v1"":2.32,""v2"":2.39,""v3"":2.48,""v4"":2.71,""v5"":2.74,""v6"":3.36,""pm"":2.26,""lastModified"":1614865980350,""timeSinceModified"":120008}",NA,NA,NA,NA
73149,"Limerick","outside",1161971,"6BZF3LCO7QP7HVM7",1161972,"YM35E8LYA7D9XGX2",37.7412,-122.2509,13.79,1614865938,"PMS5003+PMS5003+BME280","false",0,63,50,1023.13,1,"{""v"":13.79,""v1"":11.1,""v2"":9.31,""v3"":8.61,""v4"":9.75,""v5"":8.77,""v6"":6.96,""pm"":13.79,""lastModified"":1614865938425,""timeSinceModified"":120011}",NA,0,NA,NA
38683,"Lina Avenue","outside",855414,"XQSW7CRHCW5BV21E",855415,"AU8BZ50YAAIS5DER",37.783801,-122.286648,9.54,1614866005,"PMS5003+PMS5003+BME280","false",0,54,53,1023.54,0,"{""v"":9.54,""v1"":7.06,""v2"":6.44,""v3"":6.18,""v4"":7.81,""v5"":7.41,""v6"":5.97,""pm"":9.54,""lastModified"":1614866005138,""timeSinceModified"":120046}",NA,NA,NA,NA
17569,"Lincoln & Lac Jac","outside",600315,"RXHL2BZCQMJBR7MR",600316,"6ZLUCJ83DI9CW9KV",36.64346,-119.48486,24.09,1614866040,"PMS5003+PMS5003+BME280","false",0,56,46,1010.29,0,"{""v"":24.09,""v1"":23.04,""v2"":22.6,""v3"":22.87,""v4"":27.1,""v5"":21.71,""v6"":21.01,""pm"":24.09,""lastModified"":1614866040834,""timeSinceModified"":119993}",NA,NA,NA,NA
16073,"Lincoln and Channing ","outside",582337,"D6HXH9JJONGMV9M6",582338,"DSILL2DG90NSG6WI",37.447958,-122.146821,7.42,1614866009,"PMS5003+PMS5003+BME280","false",0,55,52,1020.85,0,"{""v"":7.42,""v1"":7.15,""v2"":7.01,""v3"":7.14,""v4"":7.61,""v5"":5.95,""v6"":4.41,""pm"":7.42,""lastModified"":1614866009365,""timeSinceModified"":120025}",NA,NA,NA,NA
67739,"Lincoln Court","inside",1142020,"9V9W8SIXLUSTIZ7U",1142021,"EPWG2ZQJDPJZKFJK",37.292744,-121.886465,1.29,1614866030,"PMS5003+PMS5003+BME280","false",0,27,71,1019.18,0,"{""v"":1.29,""v1"":1.46,""v2"":1.46,""v3"":1.57,""v4"":2.49,""v5"":2.69,""v6"":2.78,""pm"":1.29,""lastModified"":1614866030767,""timeSinceModified"":120015}",NA,NA,NA,NA
65721,"Lincoln Glen","outside",1134877,"JENQUJ9N0TU265ZZ",1134879,"VLBLCW90EI2GKT4U",37.281698,-121.892318,6.84,1614866012,"PMS5003+PMS5003+BME280","false",0,53,49,1019.17,0,"{""v"":6.84,""v1"":7.36,""v2"":7.53,""v3"":7.66,""v4"":8.68,""v5"":8.29,""v6"":7.99,""pm"":6.84,""lastModified"":1614866012414,""timeSinceModified"":119995}",NA,NA,NA,NA
86933,"Lincoln Heights","outside",1211034,"PC4H8NWTO3MTBK2I",1211035,"XHN5DU0MYSU8DQVR",34.0736,-118.200031,2.29,1614865927,"PMS5003+PMS5003+BME280","false",0,59,51,1004.33,2,"{""v"":2.29,""v1"":1.86,""v2"":3.26,""v3"":5.51,""v4"":8.9,""v5"":8.03,""v6"":10.95,""pm"":2.29,""lastModified"":1614865927368,""timeSinceModified"":113005}",NA,1,NA,NA
65933,"Lincoln Hill","outside",1135383,"7L1P8RR6WAPHUG1F",1135384,"TU3I7GRKDAY1KNXR",37.977507,-122.523271,4.4,1614866043,"PMS5003+PMS5003+BME280","false",0,57,50,1022.1,0,"{""v"":4.4,""v1"":3.84,""v2"":3.81,""v3"":3.89,""v4"":5.4,""v5"":4.74,""v6"":3.72,""pm"":4.4,""lastModified"":1614866043842,""timeSinceModified"":120033}",NA,NA,NA,NA
63635,"Lincoln Street","outside",1127664,"KH5GUMBVPDVA5AAX",1127665,"26H3DHLZBYM8LWM2",37.465933,-122.145777,11.38,1614865944,"PMS5003+PMS5003+BME280","false",0,60,48,1023.06,1,"{""v"":11.38,""v1"":10.22,""v2"":10.06,""v3"":10.24,""v4"":10.89,""v5"":8.34,""v6"":6.72,""pm"":11.38,""lastModified"":1614865944429,""timeSinceModified"":119987}",NA,NA,NA,NA
64023,"Lincoln/Waverley","inside",1129975,"8BZ30PGF9707E6CN",1129976,"UQLAPRTZ2OPEXS59",37.44224,-122.152878,3.57,1614865940,"PMS5003+PMS5003+BME280","false",0,22,79,1021.07,1,"{""v"":3.57,""v1"":3.08,""v2"":3.26,""v3"":3.57,""v4"":4.35,""v5"":3.34,""v6"":1.99,""pm"":3.57,""lastModified"":1614865940154,""timeSinceModified"":120034}",NA,0,NA,NA
48063,"Linda & David's sensor","outside",983800,"KN5P7T7WRP0J3AN8",983801,"6QKD5DR5OFL56LAE",34.116469,-117.658129,2.44,1614866034,"PMS5003+PMS5003+BME280","false",0,56,52,970.43,0,"{""v"":2.44,""v1"":2.43,""v2"":2.06,""v3"":2.1,""v4"":5.23,""v5"":5.01,""v6"":9.12,""pm"":2.44,""lastModified"":1614866034302,""timeSinceModified"":119743}",NA,NA,NA,NA
36177,"Linda Ave","outside",837610,"QNW38FE9NWWLB9H7",837615,"2JKQN18KNFYR2Y3S",37.238472,-121.949077,5.78,1614865972,"PMS5003+PMS5003+BME280","false",0,60,44,1011.99,1,"{""v"":5.78,""v1"":6.34,""v2"":6.36,""v3"":6.31,""v4"":6.17,""v5"":5.13,""v6"":4.3,""pm"":5.78,""lastModified"":1614865972070,""timeSinceModified"":120002}",NA,NA,NA,NA
7282,"Linda Mar Valley","outside",421318,"5L418TRQR17V13EH",421319,"CXND0983WGGRJLSZ",37.588161,-122.496871,3.88,1614865977,"PMS5003+PMS5003+BME280","false",0,NA,NA,NA,1,"{""v"":3.88,""v1"":4.47,""v2"":4.31,""v3"":4.37,""v4"":5.41,""v5"":4.63,""v6"":3.55,""pm"":3.88,""lastModified"":1614865977210,""timeSinceModified"":120002}",NA,NA,NA,NA
20265,"Linda Mar, Pacifica, CA","inside",639972,"RP9S0DZFOQYSPZ43",639973,"YKI6IFQEGVHS0FTH",37.592328,-122.486324,0,1614866007,"PMS5003+PMS5003+BME280","false",0,27,88,1014.86,0,"{""v"":0.0,""v1"":0.0,""v2"":0.01,""v3"":0.17,""v4"":4.42,""v5"":7.97,""v6"":6.86,""pm"":0.0,""lastModified"":1614866007833,""timeSinceModified"":120007}",NA,1,NA,NA
20119,"Linda Mar, Pacifica, CA","outside",638317,"1NHE6FNSY542VU4O",638318,"WGJ25FEWJ2IDY2SI",37.592318,-122.486321,7.14,1614865927,"PMS5003+PMS5003+BME280","false",0,62,53,1015.4,2,"{""v"":7.14,""v1"":7.61,""v2"":7.45,""v3"":7.43,""v4"":7.91,""v5"":6.36,""v6"":5.71,""pm"":7.14,""lastModified"":1614865927080,""timeSinceModified"":109605}",NA,NA,NA,NA
66747,"Lindaro Street","inside",1139454,"0HQPMN28YM85NXC6",1139455,"GE3F9R5VGB35H6WA",37.967429,-122.52708,1.51,1614866026,"PMS5003+PMS5003+BME280","false",0,17,84,1022.96,0,"{""v"":1.51,""v1"":1.53,""v2"":1.57,""v3"":1.62,""v4"":2.37,""v5"":2.27,""v6"":1.93,""pm"":1.51,""lastModified"":1614866026302,""timeSinceModified"":120011}",NA,NA,NA,NA
61189,"Lindaro Street_outside","outside",1114799,"YH1EYH8422YLNL6K",1114800,"T9HEZX4EYYEHPTWJ",37.967845,-122.52656,5.41,1614865930,"PMS5003+PMS5003+BME280","false",0,62,47,1023.96,1,"{""v"":5.41,""v1"":5.74,""v2"":5.58,""v3"":5.57,""v4"":6.15,""v5"":4.92,""v6"":4.21,""pm"":5.41,""lastModified"":1614865930767,""timeSinceModified"":120034}",NA,NA,NA,NA
84633,"Linden","outside",1201064,"PQJ4Y8IR0I460XD5",1201065,"P9UUV5HDRWXXN5DY",37.39345,-122.119292,8.62,1614866028,"PMS5003+PMS5003+BME280","false",0,65,44,1019.24,0,"{""v"":8.62,""v1"":9.09,""v2"":9.45,""v3"":9.59,""v4"":8.7,""v5"":6.33,""v6"":4.18,""pm"":8.62,""lastModified"":1614866028322,""timeSinceModified"":120041}",NA,NA,NA,NA
38399,"Lindenhurst and Crescent Heights","outside",854285,"L3PAMTPCS94RCFC7",854286,"4M1DELYJFL3X26T1",34.066561,-118.365453,23.47,1614865979,"PMS5003+PMS5003+BME280","false",0,66,49,1017.02,1,"{""v"":23.47,""v1"":23.27,""v2"":23.89,""v3"":23.46,""v4"":15.6,""v5"":11.75,""v6"":14.01,""pm"":23.47,""lastModified"":1614865979979,""timeSinceModified"":119825}",NA,NA,NA,NA
55293,"Lindenwood 1","outside",1058637,"BR3HYYE1DTJQVH18",1058638,"XJDQOKM06UQQO0YN",37.466265,-122.184358,8.69,1614866024,"PMS5003+PMS5003+BME280","false",0,61,48,1022.11,0,"{""v"":8.69,""v1"":8.72,""v2"":8.5,""v3"":8.46,""v4"":8.44,""v5"":6.37,""v6"":5.01,""pm"":8.69,""lastModified"":1614866024228,""timeSinceModified"":119998}",NA,NA,NA,NA
83173,"Lindero Canyon Middle School","outside",1195057,"A5N80GECOAMW75JP",1195058,"SZ21KY1ZGGXTDI34",34.157256,-118.785952,17.09,1614866024,"PMS5003+PMS5003+BME280","false",0,63,44,987.09,0,"{""v"":17.09,""v1"":16.16,""v2"":14.93,""v3"":14.19,""v4"":10.27,""v5"":5.91,""v6"":5.3,""pm"":17.09,""lastModified"":1614866024517,""timeSinceModified"":120008}",NA,NA,NA,NA
